date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2021-04-20,240.918458,261.47,251.35792,272.8,215.893234,234.31,240.190552,260.68,2111225.32553,2111225.32553
2021-04-19,251.86469,273.35,262.036946,284.39,230.543494,250.21,240.835532,261.38,1973511.87573,1973511.87573
2021-04-18,277.221618,300.87,280.870362,304.83,212.93554,231.1,251.873904,273.36,3346589.56812,3346589.56812
2021-04-17,284.150546,308.39,309.304766,335.69,273.42545,296.75,277.212404,300.86,2574519.6355,2574519.6355
2021-04-16,263.188696,285.64,292.166726,317.09,244.6317,265.5,284.187402,308.43,3150447.99928,3150447.99928
2021-04-15,256.88632,278.8,268.03526,290.9,245.0924,266.0,263.179482,285.63,1409760.53776,1409760.53776
2021-04-14,246.575854,267.61,260.7562,283.0,234.957,255.0,256.941604,278.86,1989435.79148,1989435.79148
2021-04-13,225.227016,244.44,252.039756,273.54,225.153304,244.36,246.557426,267.59,1931888.55344,1931888.55344
2021-04-12,232.51529,252.35,239.508716,259.94,221.145214,240.01,225.208588,244.42,1370860.1631,1370860.1631
2021-04-11,236.38517,256.55,242.899468,263.62,225.531078,244.77,232.478434,252.31,1890765.80129,1890765.80129
2021-04-10,203.749182,221.13,236.7998,257.0,201.934024,219.16,236.191676,256.34,1859281.88304,1859281.88304
2021-04-09,208.393038,226.17,210.991386,228.99,201.528608,218.72,203.739968,221.12,688918.8215,688918.8215
2021-04-08,201.989308,219.22,210.272694,228.21,199.842446,216.89,208.337754,226.11,1074942.89645,1074942.89645
2021-04-07,218.334944,236.96,223.890986,242.99,194.203478,210.77,201.83267,219.05,2263475.4652,2263475.4652
2021-04-06,204.071672,221.48,225.365226,244.59,196.230558,212.97,218.408656,237.04,2444849.53403,2444849.53403
2021-04-05,186.343936,202.24,207.748058,225.47,182.501698,198.07,204.071672,221.48,1329743.7613,1329743.7613
2021-04-04,179.829638,195.17,188.813288,204.92,177.111508,192.22,186.316294,202.21,565154.10714,565154.10714
2021-04-03,194.820816,211.44,200.837558,217.97,179.53479,194.85,179.884922,195.23,956126.60492,956126.60492
2021-04-02,186.924418,202.87,196.967678,213.77,184.998692,200.78,194.839244,211.46,942970.73038,942970.73038
2021-04-01,181.230166,196.69,188.887,205.0,178.7516,194.0,186.915204,202.86,876741.40869,876741.40869
2021-03-31,180.327194,195.71,183.349386,198.99,172.3018,187.0,181.23938,196.7,698229.63786,698229.63786
2021-03-30,178.502822,193.73,184.362926,200.09,175.379276,190.34,180.354836,195.74,932290.6498,932290.6498
2021-03-29,169.740308,184.22,182.06864,197.6,168.10943,182.45,178.502822,193.73,904774.30423,904774.30423
2021-03-28,169.592884,184.06,172.569006,187.29,165.852,180.0,169.758736,184.24,380545.16211,380545.16211
2021-03-27,169.021616,183.44,171.490968,186.12,163.77885,177.75,169.592884,184.06,475886.83873,475886.83873
2021-03-26,158.047742,171.53,169.371748,183.82,157.964816,171.44,169.03083,183.45,721838.20194,721838.20194
2021-03-25,162.21247,176.05,164.958242,179.03,154.666204,167.86,158.047742,171.53,956666.86464,956666.86464
2021-03-24,171.214548,185.82,181.672438,197.17,158.4808,172.0,162.21247,176.05,1189902.97985,1189902.97985
2021-03-23,171.094766,185.69,174.550016,189.44,166.883968,181.12,171.223762,185.83,638849.27686,638849.27686
2021-03-22,179.977062,195.33,183.3586,199.0,169.924588,184.42,171.076338,185.67,725506.72916,725506.72916
2021-03-21,184.427424,200.16,186.1228,202.0,176.9088,192.0,179.958634,195.31,581731.80679,581731.80679
2021-03-20,184.243144,199.96,189.90054,206.1,183.192748,198.82,184.436638,200.17,473637.43878,473637.43878
2021-03-19,184.022008,199.72,188.887,205.0,180.419334,195.81,184.243144,199.96,536877.41275,536877.41275
2021-03-18,189.771544,205.96,191.88155,208.25,183.478382,199.13,184.00358,199.7,774419.42586,774419.42586
2021-03-17,185.763454,201.61,190.674516,206.94,178.871382,194.13,189.789972,205.98,885644.66746,885644.66746
2021-03-16,184.823626,200.59,189.375342,205.53,176.12561,191.15,185.75424,201.6,1063051.80222,1063051.80222
2021-03-15,197.1796,214.0,205.085212,222.58,182.031784,197.56,184.823626,200.59,1413381.72445,1413381.72445
2021-03-14,208.310112,226.08,210.189768,228.12,197.032176,213.84,197.124316,213.94,806542.74173,806542.74173
2021-03-13,203.44512,220.8,212.133922,230.23,195.98178,212.7,208.291684,226.06,1330663.68103,1330663.68103
2021-03-12,185.542318,201.37,206.605522,224.23,182.814974,198.41,203.481976,220.84,2081683.73697,2081683.73697
2021-03-11,184.547206,200.29,187.541756,203.54,176.015042,191.03,185.533104,201.36,981380.1209,981380.1209
2021-03-10,187.78132,203.8,191.6512,208.0,176.420458,191.47,184.547206,200.29,1422079.58464,1422079.58464
2021-03-09,176.779804,191.86,188.887,205.0,174.070888,188.92,187.790534,203.81,1279698.49896,1279698.49896
2021-03-08,175.75705,190.75,179.930992,195.28,165.465012,179.58,176.77059,191.85,1171979.04352,1171979.04352
2021-03-07,168.487204,182.86,177.129936,192.24,167.92515,182.25,175.75705,190.75,820418.23901,820418.23901
2021-03-06,166.045494,180.21,170.154938,184.67,160.950152,174.68,168.47799,182.85,935959.9679,935959.9679
2021-03-05,166.460124,180.66,169.141398,183.57,155.2559,168.5,166.063922,180.23,1182501.69882,1182501.69882
2021-03-04,172.94678,187.7,179.12016,194.4,162.931162,176.83,166.469338,180.67,1485337.09208,1485337.09208
2021-03-03,164.985884,179.06,181.045886,196.49,162.894306,176.79,172.891496,187.64,1873295.01116,1873295.01116
2021-03-02,162.07426,175.9,170.753848,185.32,157.273766,170.69,165.004312,179.08,1441741.00235,1441741.00235
2021-03-01,152.279778,165.27,162.590244,176.46,150.46462,163.3,162.065046,175.89,1216268.49518,1216268.49518
2021-02-28,158.25045,171.75,159.789188,173.42,140.863632,152.88,152.233708,165.22,1682228.22219,1682228.22219
2021-02-27,156.82228,170.2,166.294272,180.48,153.993582,167.13,158.259664,171.76,1113606.4401,1113606.4401
2021-02-26,165.262304,179.36,168.487204,182.86,149.948636,162.74,156.86835,170.25,2180233.25143,2180233.25143
2021-02-25,167.169602,181.43,189.080494,205.21,161.245,175.0,165.262304,179.36,1961972.0422,1961972.0422
2021-02-24,163.41029,177.35,174.568444,189.46,155.790312,169.08,167.169602,181.43,1827554.60176,1827554.60176
2021-02-23,191.74334,208.1,192.38832,208.8,144.927006,157.29,163.401076,177.34,3669737.32689,3669737.32689
2021-02-22,209.314438,227.17,209.517146,227.39,165.852,180.0,191.946048,208.32,2556958.2216,2556958.2216
2021-02-21,208.945878,226.77,215.404892,233.78,202.763284,220.06,209.277582,227.13,1268407.03046,1268407.03046
2021-02-20,217.86503,236.45,227.622656,247.04,197.198028,214.02,208.83531,226.65,1701950.27455,1701950.27455
2021-02-19,208.770812,226.58,222.905088,241.92,202.763284,220.06,217.9111,236.5,1402427.87852,1402427.87852
2021-02-18,218.731146,237.39,220.380452,239.18,203.6294,221.0,208.780026,226.59,1580820.71,1580820.71
2021-02-17,193.705922,210.23,219.06285,237.75,187.385118,203.37,218.823286,237.49,1839179.97093,1839179.97093
2021-02-16,191.678842,208.03,204.993072,222.48,184.37214,200.1,193.733564,210.26,1660812.39786,1660812.39786
2021-02-15,196.691258,213.47,202.698786,219.99,170.744634,185.31,191.494562,207.83,2173405.17958,2173405.17958
2021-02-14,208.024478,225.77,212.631478,230.77,191.752554,208.11,196.709686,213.49,1765475.48101,1765475.48101
2021-02-13,181.248594,196.71,211.065098,229.07,176.40203,191.45,208.015264,225.76,2843517.28691,2843517.28691
2021-02-12,169.187468,183.62,184.132576,199.84,162.85745,176.75,181.230166,196.69,1946870.34253,1946870.34253
2021-02-11,167.317026,181.59,178.373826,193.59,161.908408,175.72,169.187468,183.62,1664189.0877,1664189.0877
2021-02-10,167.252528,181.52,179.829638,195.17,156.241798,169.57,167.289384,181.56,2781973.96254,2781973.96254
2021-02-09,154.131792,167.28,169.989086,184.49,151.312308,164.22,167.224886,181.49,1981149.12366,1981149.12366
2021-02-08,138.910264,150.76,156.066732,169.38,136.146064,147.76,154.131792,167.28,1894490.90608,1894490.90608
2021-02-07,143.342198,155.57,144.927006,157.29,133.814922,145.23,138.910264,150.76,1259975.92894,1259975.92894
2021-02-06,142.86307,155.05,151.358378,164.27,138.044148,149.82,143.342198,155.57,1879526.24312,1879526.24312
2021-02-05,133.64907,145.05,144.595302,156.93,132.17483,143.45,142.86307,155.05,1572009.29596,1572009.29596
2021-02-04,143.683116,155.94,146.207752,158.68,129.945042,141.03,133.667498,145.07,1766938.56965,1766938.56965
2021-02-03,130.801944,141.96,144.38338,156.7,130.765088,141.92,143.673902,155.93,1820822.28924,1820822.28924
2021-02-02,121.615586,131.99,134.358548,145.82,121.505018,131.87,130.820372,141.98,1884558.49538,1884558.49538
2021-02-01,119.201518,129.37,125.890882,136.63,116.05033,125.95,121.6248,132.0,1167609.37029,1167609.37029
2021-01-31,122.86869,133.35,124.444284,135.06,115.792338,125.67,119.192304,129.36,917993.35191,917993.35191
2021-01-30,124.084938,134.67,125.522322,136.23,117.957628,128.02,122.877904,133.36,1215569.95596,1215569.95596
2021-01-29,122.77655,133.25,134.0637,145.5,121.108816,131.44,124.06651,134.65,2193040.3844,2193040.3844
2021-01-28,112.82543,122.45,125.162976,135.84,111.249836,120.74,122.794978,133.27,1074760.50528,1074760.50528
2021-01-27,124.103366,134.69,124.352144,134.96,108.844982,118.13,112.816216,122.44,1240323.68178,1240323.68178
2021-01-26,126.296298,137.07,128.774864,139.76,117.80099,127.85,124.084938,134.67,1093141.08136,1093141.08136
2021-01-25,129.926614,141.01,136.247418,147.87,125.881668,136.62,126.296298,137.07,1380902.3935,1380902.3935
2021-01-24,126.839924,137.66,131.43771,142.65,123.218822,133.73,129.926614,141.01,917459.85058,917459.85058
2021-01-23,126.83071,137.65,132.239328,143.52,124.43507,135.05,126.849138,137.67,969988.56158,969988.56158
2021-01-22,119.50558,129.7,130.70059,141.85,113.05578,122.7,126.839924,137.66,1979078.0056,1979078.0056
2021-01-21,137.905938,149.67,138.44035,150.25,115.764696,125.64,119.524008,129.72,2176119.47889,2176119.47889
2021-01-20,139.91459,151.85,143.87661,156.15,127.52176,138.4,137.924366,149.69,2037654.31965,2037654.31965
2021-01-19,140.025158,151.97,152.970828,166.02,138.375852,150.18,139.923804,151.86,2288798.47777,2288798.47777
2021-01-18,131.557492,142.78,142.807786,154.99,127.558616,138.44,140.015944,151.96,1644947.14813,1644947.14813
2021-01-17,132.239328,143.52,135.4458,147.0,125.513108,136.22,131.57592,142.8,1379082.3792,1379082.3792
2021-01-16,132.368324,143.66,140.596426,152.59,128.332592,139.28,132.239328,143.52,1784053.82975,1784053.82975
2021-01-15,140.476644,152.46,143.498836,155.74,119.782,130.0,132.35911,143.65,2104225.5121,2104225.5121
2021-01-14,135.805146,147.39,144.558446,156.89,132.26697,143.55,140.5135,152.5,2033762.60027,2033762.60027
2021-01-13,122.951616,133.44,136.791044,148.46,116.00426,125.9,135.795932,147.38,2153426.27798,2153426.27798
2021-01-12,127.964032,138.88,135.316804,146.86,117.9392,128.0,122.933188,133.42,2825579.61257,2825579.61257
2021-01-11,156.693284,170.06,157.319836,170.74,103.84178,112.7,127.954818,138.87,5019816.79975,5019816.79975
2021-01-10,163.336578,177.27,171.223762,185.83,149.137804,161.86,156.702498,170.07,2269705.0446,2269705.0446
2021-01-09,158.738792,172.28,164.74632,178.8,150.46462,163.3,163.327364,177.26,1749781.84973,1749781.84973
2021-01-08,156.03909,169.35,167.621088,181.92,138.21,150.0,158.655866,172.19,2843159.7034,2843159.7034
2021-01-07,155.679744,168.96,166.976108,181.22,148.511252,161.18,156.03909,169.35,2493533.9948,2493533.9948
2021-01-06,146.005044,158.46,156.380008,169.72,142.77093,154.95,155.642888,168.92,1857831.43166,1857831.43166
2021-01-05,143.121062,155.33,150.00392,162.8,135.003528,146.52,145.977402,158.43,1998205.92425,1998205.92425
2021-01-04,148.557322,161.23,160.010324,173.66,128.360234,139.31,143.130276,155.34,3530422.20392,3530422.20392
2021-01-03,126.176516,136.94,151.75458,164.7,124.66542,135.3,148.566536,161.24,3813834.07669,3813834.07669
2021-01-02,116.28068,126.2,130.8388,142.0,113.47041,123.15,126.194944,136.96,2442266.765,2442266.765
2021-01-01,114.456308,124.22,123.439958,133.97,113.230846,122.89,116.317536,126.24,1539801.80815,1539801.80815
2020-12-31,119.837284,130.06,120.10449,130.35,112.392372,121.98,114.447094,124.21,1248723.03424,1248723.03424
